Round,Pick #,Expected Board Slot,Strategy,Option #,Player,Team,Pos,Rank,R,HR,RBI,SB,AVG,OPS,ERA,WHIP,K/9,QS,SV,W
,,,,6,Cade Horton,CHC,SP,177,,,,,,,4.34,1.33,7.9,10,0,8
,,,,7,Ezequiel Tovar,COL,SS,178,72,20,75,9,0.263,0.745,,,,,,
,,,,8,Aaron Nola,PHI,SP,179,,,,,,,3.98,1.22,8.7,16,0,11
,,,,9,Mike Trout,LAA,OF/DH,180,56,19,51,3,0.232,0.784,,,,,,
,,,,10,Heliot Ramos,SF,OF,181,64,19,66,6,0.256,0.752,,,,,,
,,,,11,Sal Stewart,CIN,1B,182,50,15,54,6,0.271,0.789,,,,,,
,,,,12,Kris Bubic,KC,SP,183,,,,,,,3.91,1.30,8.5,12,0,9
,,,,13,Ryan Walker,SF,RP,184,,,,,,,3.29,1.19,9.7,0,32,3
,,,,14,Marcus Semien,NYM,2B,185,72,20,70,9,0.241,0.713,,,,,,
,,,,15,Zac Gallen,ARI,SP,186,,,,,,,4.24,1.33,8.5,16,0,11

15,180,179,SP streamable depth,1,Daulton Varsho,TOR,OF,196,66,23,65,7,0.226,0.723,,,,,,
,,,,2,Shane Baz,BAL,SP,197,,,,,,,4.29,1.33,8.8,13,0,9
,,,,3,Jorge Polanco,NYM,2B/3B/DH,198,58,20,63,5,0.248,0.765,,,,,,
,,,,4,Konnor Griffin,PIT,SS/OF,199,41,9,39,15,0.259,0.714,,,,,,
,,,,5,Dylan Crews,WSH,OF,200,41,12,41,16,0.243,0.716,,,,,,
,,,,6,Munetaka Murakami,CWS,1B/3B,201,75,32,85,8,0.230,0.789,,,,,,
,,,,7,Wilyer Abreu,BOS,OF,202,55,18,57,7,0.250,0.789,,,,,,
,,,,8,Andrew Abbott,CIN,SP,203,,,,,,,4.54,1.31,8.3,13,0,9
,,,,9,Gleyber Torres,DET,2B,204,80,18,66,5,0.260,0.752,,,,,,
,,,,10,Alejandro Kirk,TOR,C,205,54,14,56,1,0.274,0.786,,,,,,
,,,,11,Kazuma Okamoto,TOR,1B/3B,206,61,22,68,3,0.248,0.765,,,,,,
,,,,12,Dennis Santana,PIT,RP,207,,,,,,,4.03,1.32,8.4,0,26,3
